ID;Surname;Name;Date Of Birth;Bank Credentials;
1;Фамилия_1;Имя_1;19.04.1955;2878 3599 5071 3973;
2;Фамилия_2;Имя_2;20.01.1985;8085 3347 8786 6541;
3;Фамилия_3;Имя_3;10.01.1989;1763 8763 7581 2813;
4;Фамилия_4;Имя_4;17.04.1980;8396 2648 2762 8990;
5;Фамилия_5;Имя_5;23.07.1990;1837 7885 8684 7527;
6;Фамилия_6;Имя_6;23.07.1976;3609 3351 7299 9875;
7;Фамилия_7;Имя_7;02.10.1992;9990 4508 6099 2956;
8;Фамилия_8;Имя_8;15.08.1994;8034 7659 4216 9391;
9;Фамилия_9;Имя_9;11.02.1989;4754 8124 3562 6411;
10;Фамилия_10;Имя_10;18.03.1991;4848 3940 3391 1192;
11;Фамилия_11;Имя_11;20.08.1952;5939 7033 8417 7841;
12;Фамилия_12;Имя_12;14.04.1995;5823 8569 1408 9562;
13;Фамилия_13;Имя_13;24.02.1956;9739 3110 9577 5190;
14;Фамилия_14;Имя_14;20.12.1985;7654 1145 1505 2239;
15;Фамилия_15;Имя_15;22.07.1997;4450 9105 9340 4304;
16;Фамилия_16;Имя_16;03.11.1988;9744 9156 1890 6194;
17;Фамилия_17;Имя_17;07.08.2000;7930 7573 7655 8119;
18;Фамилия_18;Имя_18;06.03.1958;8426 2852 2887 1479;
19;Фамилия_19;Имя_19;09.10.1981;5302 8914 7943 6649;
20;Фамилия_20;Имя_20;10.05.1970;9806 4088 5870 8129;
21;Фамилия_21;Имя_21;10.01.1952;2667 6907 8052 9656;
22;Фамилия_22;Имя_22;24.10.1985;8571 8224 7222 2835;
23;Фамилия_23;Имя_23;15.12.1980;6928 1880 2344 2803;
24;Фамилия_24;Имя_24;21.05.1993;3684 6463 1042 7752;
25;Фамилия_25;Имя_25;24.07.1972;1470 2125 1227 9812;
26;Фамилия_26;Имя_26;27.05.1986;7786 7181 7389 7884;
27;Фамилия_27;Имя_27;08.08.1952;5736 3459 7521 4775;
28;Фамилия_28;Имя_28;20.01.2000;9554 7915 1798 2609;
29;Фамилия_29;Имя_29;12.02.1988;3120 8835 5424 2120;
